dataid,building_type,city,pv,house_construction_year,total_square_footage,egauge_min_time,egauge_max_time,use,grid,gen
2557,Single-Family Home,Austin,yes,1969,3400,01/21/2013 18:00,12/31/2016 5:32,yes,yes,yes
2575,Single-Family Home,Austin,yes,2008,1439,11/09/2012 0:00,12/31/2016 6:59,yes,yes,yes
2742,Single-Family Home,Austin,yes,2009,2214,02/08/2013 18:00,12/04/2016 8:31,yes,yes,yes
2755,Single-Family Home,Austin,yes,2008,2385,05/02/2012 19:00,12/31/2016 8:33,yes,yes,yes
2814,Single-Family Home,Austin,yes,2009,1842,05/14/2012 19:00,12/31/2016 3:35,yes,yes,yes
2818,Single-Family Home,Austin,yes,2007,2345,10/20/2012 19:00,12/31/2016 7:59,yes,yes,yes
2864,Single-Family Home,Austin,yes,1963,1973,10/05/2012 19:00,08/13/2015 3:44,yes,yes,yes
2925,Single-Family Home,Austin,yes,2010,2293.5,05/15/2012 19:00,12/31/2016 5:59,yes,yes,yes
2945,Single-Family Home,Austin,yes,2007,1720,05/15/2012 19:00,12/31/2016 4:59,yes,yes,yes
2965,Single-Family Home,Austin,yes,2007,1720,05/31/2012 0:00,12/31/2016 7:59,yes,yes,yes
2980,Single-Family Home,Austin,yes,2009,1556,05/02/2012 19:00,12/31/2016 3:59,yes,yes,yes
2986,Single-Family Home,Austin,yes,2008,2310,05/15/2012 19:00,12/31/2016 5:31,yes,yes,yes
3009,Single-Family Home,Austin,yes,2008,1252,02/23/2014 18:00,12/31/2016 3:30,yes,yes,yes
3036,Single-Family Home,Austin,yes,2011,2100.5,07/13/2012 0:00,10/26/2016 8:59,yes,yes,yes
3039,Single-Family Home,Austin,yes,2010,3246,10/26/2012 19:00,12/31/2016 6:59,yes,yes,yes
3044,Single-Family Home,Austin,yes,2011,3383,03/22/2014 0:00,12/31/2016 5:59,yes,yes,yes
3126,Single-Family Home,Austin,yes,1984,4239,02/12/2015 0:00,12/12/2016 3:32,yes,yes,yes
3134,Single-Family Home,Austin,yes,2008,1240,09/17/2012 19:00,12/31/2016 3:59,yes,yes,yes
3192,Single-Family Home,Austin,yes,2008,2075,05/22/2012 1:00,07/17/2016 5:59,yes,yes,yes
3224,Single-Family Home,Austin,yes,2008,2001,05/02/2012 19:00,08/28/2015 2:59,yes,yes,yes
3310,Single-Family Home,Austin,yes,2007,2340,11/03/2014 0:00,12/31/2016 0:59,yes,yes,yes
