,overlap_length_yrs,overlap_start,overlap_end,segment_count,segment_list
13241,2.084929604261796,1348185600,1413935940,100,"1103,1169,1185,1192,1283,1601,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2925,2945,2965,2980,2986,3036,3134,3192,3224,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5403,5439,545,5615,5738,5785,5796,5817,585,5892,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
13909,2.0602720700152206,1350950400,1415923140,105,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9729,9737"
13925,2.030821917808219,1350950400,1414994400,105,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9729,9737"
14013,2.0136967275494673,1350950400,1414454340,106,"1103,1169,1185,1192,1283,1601,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9729,9737"
20470,2.0602720700152206,1349481600,1414454340,102,"1103,1169,1185,1192,1283,1601,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
20474,2.0438337138508373,1349481600,1413935940,102,"1103,1169,1185,1192,1283,1601,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
20535,2.0773972602739725,1349481600,1414994400,101,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
22004,2.041780821917808,1350604800,1414994400,102,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
22055,2.0246556316590563,1350604800,1414454340,103,"1103,1169,1185,1192,1283,1601,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
22077,2.0712309741248096,1350604800,1415923140,102,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
22193,2.0082172754946725,1350604800,1413935940,103,"1103,1169,1185,1192,1283,1601,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
23945,2.052052891933029,1351209600,1415923140,107,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7536,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9729,9737,9982"
23991,2.0226027397260276,1351209600,1414994400,107,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7536,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9729,9737,9982"
24053,2.0054775494672756,1351209600,1414454340,108,"1103,1169,1185,1192,1283,1601,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7536,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9729,9737,9982"
26691,2.036301369863014,1350777600,1414994400,104,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
26817,2.0657515220700153,1350777600,1415923140,104,"1103,1169,1185,1192,1283,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
26851,2.0027378234398783,1350777600,1413935940,105,"1103,1169,1185,1192,1283,1601,1642,1697,171,1714,1718,1792,187,2072,2094,2129,2199,2233,2335,2337,2470,2755,2814,2818,2864,2925,2945,2965,2980,2986,3036,3134,3192,3224,3456,3527,3544,3635,370,3719,3723,3918,3935,3967,4154,4193,4302,4357,4373,4447,4526,4767,4957,5129,5218,5246,5275,5357,5403,5439,545,5615,5738,5785,5796,5817,585,5892,5972,6121,6139,6266,6423,6643,6871,6990,7016,7108,7429,744,7510,7627,7731,7739,7767,7800,7850,7863,7989,8084,8155,8419,861,8626,8669,8829,8890,890,8967,9019,9052,9121,9160,9631,9737"
