dataid,city,building_type,total_square_footage,house_construction_year,egauge_min_time,egauge_max_time
2755,Austin,Single-Family Home,2385.0,2008.0,2012-05-03 00:00:00,2017-06-10 10:59:00
2814,Austin,Single-Family Home,1842.0,2009.0,2012-05-15 00:00:00,2017-12-02 09:37:00
2818,Austin,Single-Family Home,2345.0,2007.0,2012-10-21 00:00:00,2017-11-13 12:59:00
2864,Austin,Single-Family Home,1973.0,1963.0,2012-10-06 00:00:00,2015-08-13 08:44:00
2925,Austin,Single-Family Home,2293.5,2010.0,2012-05-16 00:00:00,2017-12-02 10:59:00
2945,Austin,Single-Family Home,1720.0,2007.0,2012-05-16 00:00:00,2017-11-13 11:59:00
2965,Austin,Single-Family Home,1720.0,2007.0,2012-05-31 05:00:00,2017-12-02 10:59:00
2980,Austin,Single-Family Home,1556.0,2009.0,2012-05-03 00:00:00,2017-12-02 11:59:00
2986,Austin,Single-Family Home,2310.0,2008.0,2012-05-16 00:00:00,2017-11-29 09:36:00
3009,Austin,Single-Family Home,1252.0,2008.0,2014-02-24 00:00:00,2017-12-02 10:33:00
3036,Austin,Single-Family Home,2100.5,2011.0,2012-07-13 05:00:00,2017-12-02 11:59:00
3039,Austin,Single-Family Home,3246.0,2010.0,2012-10-27 00:00:00,2017-12-02 09:59:00
3044,Austin,Single-Family Home,3383.0,2011.0,2014-03-22 05:00:00,2017-08-26 08:59:00
3126,Austin,Single-Family Home,4239.0,1984.0,2015-02-12 06:00:00,2016-12-12 09:32:00
3134,Austin,Single-Family Home,1240.0,2008.0,2012-09-18 00:00:00,2017-12-02 10:59:00
3192,Austin,Single-Family Home,2075.0,2008.0,2012-05-22 06:00:00,2016-07-17 10:59:00
3224,Austin,Single-Family Home,2001.0,2008.0,2012-05-03 00:00:00,2015-08-28 07:59:00
3310,Austin,Single-Family Home,2340.0,2007.0,2014-11-03 06:00:00,2017-12-02 10:59:00
3367,Austin,Single-Family Home,2843.0,2007.0,2012-10-28 00:00:00,2017-12-02 10:59:00
3456,Austin,Single-Family Home,1720.0,2008.0,2012-10-20 00:00:00,2017-11-14 08:59:00
3506,Austin,Single-Family Home,2006.0,2012.0,2014-08-16 05:00:00,2017-12-02 13:38:00
3527,Austin,Single-Family Home,2075.0,2008.0,2012-05-03 00:00:00,2017-12-02 13:35:00
3538,Austin,Single-Family Home,1720.0,2007.0,2014-04-26 05:00:00,2017-11-13 10:59:00
3544,Austin,Single-Family Home,1185.0,2008.0,2012-05-03 00:00:00,2015-03-31 14:59:00
3632,Austin,Single-Family Home,1720.0,2008.0,2012-05-02 06:00:00,2013-05-31 05:00:00
3635,Austin,Single-Family Home,2521.0,2007.0,2012-05-16 00:00:00,2017-10-19 09:59:00
3649,Austin,Single-Family Home,2446.0,1973.0,2013-03-28 05:00:00,2017-12-02 11:59:00
3719,Austin,Single-Family Home,2843.0,2007.0,2012-05-16 00:00:00,2017-10-15 13:59:00
3723,Austin,Single-Family Home,1544.0,2008.0,2012-05-29 20:09:00,2017-12-02 08:59:00
3736,Austin,Single-Family Home,1790.0,1968.0,2013-05-08 00:00:00,2017-12-02 13:09:00
3829,Austin,Single-Family Home,2385.0,2010.0,2013-10-10 00:00:00,2017-12-02 08:59:00
3849,Austin,Single-Family Home,2297.0,2009.0,2014-08-28 05:00:00,2017-12-02 09:59:00
3918,Austin,Single-Family Home,3023.0,2008.0,2012-09-18 00:00:00,2017-06-25 11:27:00
3935,Austin,Single-Family Home,1544.0,2008.0,2012-05-16 00:00:00,2017-01-28 17:04:00
3964,Austin,Single-Family Home,1946.0,2008.0,2012-05-22 00:00:00,2013-10-13 23:59:00
3967,Austin,Single-Family Home,2521.0,2008.0,2012-05-16 00:00:00,2017-12-02 12:59:00
